Year,Month,Region,County,Age Category,Clinical Sign,Diagnosis,Cases,Temperature,Poultry Density,Outbreak Logistics Regression
2018,11,North West,Cumbria,Immature,Digestive,Coccidiosis,1,7.2,154.5,0.888
2018,5,Wales,Powys,Unknown,Neurological,Botulism,1,12.5,95.4,0.728
2018,7,North East,Northumberland,Immature,Respiratory,Aspergillosis,1,17.2,180.3,0.762
2018,9,Yorkshire & Humber,North Lincolnshire,Adult,Musculoskeletal,Bumblefoot,1,14.2,183.7,0.199
2018,12,South West,Bristol,Unknown,Other/Unknown,Unknown,1,4.6,129.3,0.503
2018,8,Scotland,Perthshire,Immature,Skin Lesions,Scaly Leg Mite,1,16.8,234.3,0.394
2019,1,East of England,Hertfordshire,Adult,Respiratory,Marek's Desease,1,4.1,90.1,0.171
2019,1,North East,Tyne & Wear,Adult,Found Dead,Impactions,1,4.1,98.1,0.416
2019,2,South East,Surrey,Adult,Abnormal faeces & other GIT,Egg peritonitis & salpingits,1,4.5,138.6,0.159
2019,2,East of England,Hertfordshire,Adult,Nervous,Neoplasm,1,4.5,144.6,0.287
2019,3,Scotland,Tayside,Adult,Unknown,Egg peritonitis & salpingits,1,6.8,101.6,0.739
2019,4,South West,Devon,Adult,Nervous,Egg peritonitis & salpingits,1,9.3,279.7,0.649
2019,5,Yorkshire and The Humber,North Yorkshire,Adult,Non specific,Egg peritonitis & salpingits,1,12.5,257,0.659
2019,5,South East,Kent,Adult,Egg drop or Egg quality,Neoplasm,1,12.5,76.7,0.163
2019,6,South West,Devon,Adult,Found Dead,Egg peritonitis & salpingits,1,15.1,142.4,0.231
2019,6,South West,Somerset excl North,Unknown,Wasting,Egg peritonitis & salpingits,1,15.1,108.2,0.117
2019,7,South West,Somerset excl North,Immature,Musculoskeletal &/or Lame,Marek's Desease,1,17.2,162.8,0.178
2019,8,South West,Devon,Immature,Wasting,Coccidiosis,1,16.8,119.1,0.181
2019,9,North West,Cumbria,Adult,Recumbent,Neoplasm,1,14.2,175.5,0.868
2019,10,Wales,Pembrokeshire,Immature,Respiratory,Pododermatitis,1,10.6,280.7,0.815
2019,11,Yorkshire and The Humber,North Yorkshire,Immature,Abnormal faeces & other GIT,Neoplasm,1,7.2,145.6,0.263
2019,12,East of England,Bedfordshire,Adult,Nervous,Marek's Desease,1,4.6,212.5,0.303
2020,1,Yorkshire and The Humber,North Yorkshire,Adult,Wasting,Neoplasm,1,4.1,198.9,0.869
2020,2,Yorkshire and The Humber,North Yorkshire,Adult,Wasting,Neoplasm,1,4.5,238,0.556
2020,3,Wales,South Wales,Unknown,Non specific,Colicepticaemia,1,6.8,65.4,0.395
2020,3,East Midlands,Lincolnshire,Immature,Wasting,Poor Intestinal health in broilers ,1,6.8,236.2,0.473
2020,5,East of England,Bedfordshire,Adult,Musculoskeletal &/or Lame,Marek's Desease,1,12.5,286.6,0.318
2020,6,Yorkshire and The Humber,West Yorkshire,Adult,Found Dead,Colicepticaemia,1,15.1,200.9,0.567
2020,7,Scotland,North Eastern Scotland, 0-7 Days,Found Dead,"Yolk Sack
Infection",1,17.2,121.9,0.68
2020,7,North East,Durham,Adult,Nervous,Egg peritonitis & salpingits,1,17.2,218.1,0.512
2020,8,East of England,Hertfordshire,Immature,Musculoskeletal &/or Lame,Skeletal defects,1,16.8,228,0.757
2020,9,South West,Devon,Adult,Respiratory,Helminthosis,1,14.2,214.1,0.191
2020,10,North West,Cumbria,Adult,Non specific,Helminthosis,1,10.6,86.7,0.583
2020,10,North East,Durham,Unknown,Found Dead,Marek's Desease,1,10.6,293.4,0.892
2020,11,East of England,Hertfordshire,Adult,Nervous,Marek's Desease,1,7.2,288.8,0.219
2020,12,East of England,Suffolk,Immature,Musculoskeletal &/or Lame,Ostemalacia,1,4.6,156.2,0.496
2020,12,London,Greater London,Immature,Wasting,Coccidiosis,1,4.6,198.4,0.604
2021,1,London,Greater London,Adult,Wasting,Tuberculosis,1,4.1,59.9,0.37
2021,1,Scotland,Highlands,Adult,Unknown,Vent & Feather Packing,1,4.1,297.2,0.872
2021,1,South East,Surrey,Adult,Unknown,Neoplasm,1,4.1,254.7,0.488
2021,1,South West,Northern Somerset & South Gloucestershire,Adult,Recumbent,Egg peritonitis & salpingits,1,4.1,209.1,0.483
2021,1,Wales,Carmarthenshire,Adult,Nervous,Helminthosis,1,4.1,240.3,0.822
2021,2,East of England,Hertfordshire,Adult,Non specific,Marek's Desease,1,4.5,97,0.113
2021,2,West Midlands,Shropshire,0-7 Days,Unknown,"Yolk Sack
Infection",1,4.5,126.9,0.795
2021,3,East of England,Hertfordshire,Adult,Egg drop or Egg quality,Egg peritonitis & salpingits,1,6.8,111.6,0.203
2021,3,North West,Cumbria,Adult,Unknown,Vent & Feather Packing,1,6.8,199,0.403
2021,4,East Midlands,Northamptonshire,Immature,Wasting,Ostemalacia,1,9.3,73,0.491
2021,4,West Midlands,Shropshire,0-7 Days,Unknown,"Yolk Sack
Infection",1,9.3,273.9,0.481
2021,5,East Midlands,Northamptonshire,Immature,Abnormal faeces & other GIT,Not listed- digestive,1,12.5,165.6,0.132
2021,5,North West,Cheshire,Adult,Unknown,Not listed- circulatory,1,12.5,161.2,0.354
2021,6,South East,Surrey,Unknown,Unknown,Helminthosis,1,15.1,76.2,0.385
2021,6,East of England,Essex,Adult,Found Dead,Chronic congestive heart failure ,1,15.1,221.2,0.865
2021,7,Yorkshire and The Humber,North Yorkshire,Adult,Wasting,Blackhead,1,17.2,254.2,0.834
2021,8,Scotland,Scottish Borders,Unknown,Found Dead,Malnutrition,1,16.8,207.4,0.567
2021,9,North West,Cumbria,Adult,Unknown,Neoplasm,1,14.2,110.5,0.847
2021,10,Scotland,Lothian,0-7 Days,Found Dead,Nephrosis,1,10.6,246.4,0.791
2021,11,Wales,Ceredigion,Adult,Respiratory,Red Mite,1,7.2,86.4,0.401
2021,12,South East & West Midlands,Herefordshire,Adult,Unknown,Impactions,1,4.6,256.8,0.194
2022,1,East of England,Cambridgeshire,Unknown,Respiratory,Mycoplasma synoviae infection,1,4.1,195.2,0.586
2022,1,East of England,Hertfordshire,Adult,Nervous,Marek's Desease,1,4.1,122.3,0.358
2022,2,South West,Northern Somerset & South Gloucestershire,Adult,Wasting,Impactions,1,4.5,178.3,0.108
2022,3,East Midlands & South West,Northern Somerset & South Gloucestershire,Adult,Unknown,Egg peritonitis & salpingits,1,6.8,207.2,0.885
2022,3,North West,Cumbria,Adult,Abnormal faeces & other GIT,Marek's Desease,1,6.8,114.6,0.875
2022,4,East of England,Essex,0-7 Days,Found Dead,Starve out,1,9.3,261.7,0.529
2022,4,East Midlands & Yorkshire and The Humber,West Yorkshire,Adult,Nervous,Marek's Desease,1,9.3,155.3,0.595
2022,5,Wales,Ceredigion,Adult,Recumbent,Egg peritonitis & salpingits,1,12.5,273.1,0.635
2022,6,East Midlands & Scotland,North Eastern Scotland,Adult,Non specific,Egg peritonitis & salpingits,1,15.1,258.9,0.841
2022,7,Scotland,North Eastern Scotland,Immature,Respiratory,Colicepticaemia,1,17.2,74.8,0.474
2022,8,East Midlands,Derbyshire,Adult,Unknown,Neoplasm,1,16.8,211.6,0.566
2022,9,East Midlands,Derbyshire,Immature,Wasting,Coccidiosis,1,14.2,127.6,0.281
2022,9,Wales,Powys,Adult,Egg drop or Egg quality,Egg peritonitis & salpingits,1,14.2,238.5,0.294
2022,10,East of England,Bedfordshire,Immature,Wasting,Not Listed- Respiratory,1,10.6,185.7,0.518
2022,11,South West,Cornwall and Isles of Scilly,Adult,Found Dead,Trauma/Fracture,1,7.2,164.4,0.283
2022,12,South West,Northern Somerset & South Gloucestershire,Adult,Found Dead,Impactions,1,4.6,273.8,0.124
2023,1,South East,Buckinghamshire,Adult,Wasting,Enterococcal infection,1,4.1,64.3,0.395
2023,2,West Midlands,Herefordshire,Adult,Respiratory,Helminthosis,1,4.5,189.3,0.7
2023,2,South West,Somerset excl North,Adult,Wasting,Egg peritonitis & salpingits,1,4.5,132,0.322
2023,3,East of England,Hertfordshire,Adult,Found Dead,Tuberculosis,1,6.8,58.8,0.79
2023,3,East Midlands,Nottinghamshire,Adult,Non specific,Neoplasm,1,6.8,238.4,0.662
2023,4,South West,Northern Somerset & South Gloucestershire,Adult,Abnormal faeces & other GIT,Neoplasm,1,9.3,190.4,0.623
2023,4,East Midlands,Nottinghamshire,Adult,Abnormal faeces & other GIT,Neoplasm,1,9.3,273.5,0.814
2023,5,North West,Cumbria,0-7 Days,Musculoskeletal &/or Lame,Pododermatitis,1,12.5,199.6,0.159
2023,5,East of England,Essex,Adult,Found Dead,Neoplasm,1,12.5,134.3,0.243
2023,6,East Midlands,Leicestershire and Rutland,Unknown,Unknown,Marek's Desease,1,15.1,296.3,0.827
2023,7,South West,Somerset excl North,Immature,Found Dead,Malnutrition,1,17.2,78.9,0.826
2023,8,Wales,South Wales,Adult,Found Dead,Neoplasm,1,16.8,63.2,0.163
2023,9,South West,Somerset excl North,Unknown,Recumbent,Curled Toe paralysis/ riboflabin deficiency,1,14.2,233.2,0.719
2023,10,London,Greater London,Adult,Wasting,Helminthosis,1,10.6,142.7,0.112
2023,11,Wales,Carmarthenshire,0-7 Days,Found Dead,Starve out,1,7.2,140.4,0.208
2023,12,South West,Northern Somerset & South Gloucestershire,Immature,Musculoskeletal &/or Lame,Curled Toe paralysis/ riboflabin deficiency,1,4.6,269.1,0.188
2024,1,Wales,Ceredigion,Adult,Respiratory,Mycotic pneumonia & Airsacculitis ,1,4.1,131.8,0.335
2024,2,Scotland,North Eastern Scotland,Adult,Wasting,Neoplasm,1,4.5,272.2,0.411
2024,2,South East,Surrey,Adult,Wasting,Not listed- digestive,1,4.5,211,0.829
2024,3,East Midlands,Nottinghamshire,Adult,Nervous,Helminthosis,1,6.8,132.3,0.449
2024,4,South East,Surrey,Adult,Nervous,Neoplasm,1,9.3,64.9,0.199
2024,4,Wales,North West Wales,Adult,Unknown,Neoplasm,1,9.3,111.3,0.318
2024,5,South East,Surrey,Adult,Nervous,Neoplasm,1,12.5,292.1,0.105
2024,5,East Midlands,Leicestershire and Rutland,Adult,Unknown,Helminthosis,1,12.5,151.3,0.122
2024,6,South East,Surrey,Adult,Wasting,Septicaemia if ot otherwise specified,1,15.1,90,0.445
2024,6,Wales,Ceredigion,Adult,Wasting,Egg peritonitis & salpingits,1,15.1,124.5,0.51
2024,7,Wales,Ceredigion,Adult,Found Dead,Red Mite,1,17.2,274.9,0.3
2024,7,East of England,Hertfordshire,Adult,Wasting,Neoplasm,1,17.2,91.2,0.404
2024,8,East Midlands,Lincolnshire,Adult,Abnormal faeces & other GIT,Poor Intestinal health in broilers ,1,16.8,244.5,0.183
2024,9,East of England,Hertfordshire,Immature,Recumbent,Marek's Desease,1,14.2,83.7,0.627
2024,10,Scotland,Argyll and Bute,Unknown,Wasting,Helminthosis,1,10.6,290.3,0.414
2024,10,East Midlands,Derbyshire,Adult,Nervous,Not listed,1,10.6,182.6,0.229
2024,11,Wales,Powys,Adult,Unknown,Colicepticaemia,1,7.2,60.8,0.498
2024,12,London,Greater London,Immature,Wasting,Coccidiosis,1,4.6,282.7,0.267
